source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.7146666666666667,0.7146666666666667,zero_shot,0.9986666666666667,classify_lora,0.9826666666666667,0.49866666666666665,0.0
alpaca_mmlu,spanish_output,spanish_output,0.6813333333333333,0.6813333333333333,zero_shot,0.808,classify_lora,0.712,0.49866666666666665,0.0
math,change_my_view,change_my_view,0.352,0.352,zero_shot,0.776,classify_lora,0.8013333333333333,0.432,0.0
raven_matrices,us_history,us_history,0.6746666666666666,0.6746666666666666,zero_shot,0.956,classify_lora,0.7253333333333334,0.49866666666666665,0.0
code_easy,code_hard,code_hard,0.744,0.744,zero_shot,0.944,classify_lora,0.9653333333333334,0.49866666666666665,0.0
alpaca_easy,alpaca_hard,alpaca_hard,0.6453333333333333,0.6453333333333333,zero_shot,0.956,classify_lora,0.96,0.49866666666666665,0.0
alpaca_mmlu,raven_matrices,raven_matrices,0.7253333333333334,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.712,0.49866666666666665,0.0
alpaca_mmlu,ranking_logic,ranking_logic,0.62,0.62,zero_shot,0.9973333333333333,classify_lora,0.712,0.49866666666666665,0.0
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.112,0.112,zero_shot,0.9653333333333334,classify_lora,0.9213333333333333,0.49866666666666665,0.0
alpaca_short,alpaca_long,alpaca_mmlu,0.04,0.04,zero_shot,0.8706666666666667,classify_lora,0.688,0.432,0.0
alpaca_mmlu,wrong_arc,wrong_arc,0.164,0.164,zero_shot,0.932,mms,0.712,0.432,0.0
alpaca_mmlu,truthful_qa,truthful_qa,0.38133333333333336,0.38133333333333336,zero_shot,0.928,classify_lora,0.712,0.49866666666666665,0.0
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.468,0.468,zero_shot,0.936,classify_lora,0.712,0.432,0.0
alpaca_mmlu,survival_influence,survival_influence,0.328,0.328,zero_shot,1.0,mms,0.712,0.432,0.0
alpaca_mmlu,reward_seeking,reward_seeking,0.5026666666666667,0.5026666666666667,zero_shot,0.9946666666666667,classify_lora,0.712,0.49866666666666665,0.0
